"index","type","start","end","text"
"0","cue","00:00:07,090","00:00:09,092","<i>-This is the greatest. I love you.</i>
<i>-Mmm.</i>"
"1","cue","00:00:09,175","00:00:10,135","<i>I love you too.</i>"
"2","cue","00:00:10,927","00:00:12,595","<i>-Good morning.</i>
<i>-Hi.</i>"
"3","cue","00:00:12,679","00:00:13,763","<i>-You like me!</i>
<i>-[laughs]</i>"
"4","cue","00:00:13,847","00:00:16,683","<i>-I'm all-in, and I love you. [chuckles]</i>
<i>-I love you too, Tiffany.</i>"
"5","cue","00:00:16,766","00:00:19,269","<i>[Tiffany laughing] Oh!</i>"
"6","cue","00:00:19,936","00:00:23,231","<i>Bliss, you're everything that</i>
<i>I've been looking for my entire life.</i>"
"7","cue","00:00:23,314","00:00:24,315","<i>Will you marry me?</i>"
"8","cue","00:00:24,399","00:00:25,400","<i>Yeah.</i>"
"9","cue","00:00:25,483","00:00:26,818","<i>I'm engaged to Zack.</i>"
"10","cue","00:00:26,901","00:00:31,239","<i>[chuckles] I feel like I knew</i>
<i>that he was my person, deep in my soul.</i>"
"11","cue","00:00:31,322","00:00:32,449","<i>You know, you know.</i>"
"12","cue","00:00:33,992","00:00:37,996","<i>I love you a lot, but I'm still gonna have</i>
<i>concern of being second choice.</i>"
"13","cue","00:00:38,079","00:00:38,997","<i>I need time.</i>"
"14","cue","00:00:40,123","00:00:43,793","<i>I'm not sacrificing what I want,</i>
<i>but I am compromising.</i>"
"15","cue","00:00:43,877","00:00:45,003","<i>Welcome to marriage.</i>"
"16","cue","00:00:46,337","00:00:48,548","<i>-Okay.</i>
<i>-Do you wanna settle down?</i>"
"17","cue","00:00:51,259","00:00:53,636","<i>[Shelby] You're meant to have</i>
<i>the best wedding of your life.</i>"
"18","cue","00:00:53,720","00:00:54,804","<i>But this isn't it.</i>"
"19","cue","00:00:55,430","00:00:56,723","<i>This isn't it.</i>"
"20","cue","00:00:56,806","00:01:00,268","<i>You didn't wanna sit here and talk.</i>
<i>You were like, ""I'm leaving.""</i>"
"21","cue","00:01:00,351","00:01:01,352","<i>What else am I to do?</i>"
"22","cue","00:01:01,436","00:01:03,188","<i>Sit in my feelings</i>
<i>and sleep next to someone</i>"
"23","cue","00:01:03,271","00:01:04,856","<i>who said I was not man enough for them?</i>"
"24","cue","00:01:04,939","00:01:06,191","<i>We don't have sex.</i>"
"25","cue","00:01:07,609","00:01:12,155","<i>It is weird to see somebody that</i>
<i>you truly care about with somebody else.</i>"
"26","cue","00:01:12,238","00:01:13,990","<i>[""Got My Eyes on You"" playing]</i>"
"27","cue","00:01:14,074","00:01:17,285","<i>-You too cool for school.</i>
<i>-You were talking to MBA cry boy.</i>"
"28","cue","00:01:17,368","00:01:20,538","<i>If you truly think you're gonna</i>
<i>go walk up and talk to Marshall</i>"
"29","cue","00:01:20,622","00:01:22,999","<i>and be like, ""Yo, I do,"" then fuck it.</i>"
"30","cue","00:01:23,083","00:01:25,251","<i>But if you don't feel like heart-to-heart</i>"
"31","cue","00:01:25,335","00:01:27,629","<i>you're really gonna marry Marshall,</i>
<i>pick me.</i>"
"32","cue","00:01:29,422","00:01:33,259","<i>♪ I've got my eyes on you ♪</i>"
"33","cue","00:01:35,512","00:01:38,640","<i>-[pop music playing]</i>
<span style=""style2"">{\an8}-♪ Won't find another quite like me ♪</i>"
"34","cue","00:01:38,723","00:01:41,976","{\an8}<i>♪ I don't just want it</i>
<i>I've got this need ♪</i>"
"35","cue","00:01:42,477","00:01:45,647","{\an8}<i>I'm just glad everybody loved my shoes.</i>
<i>That's all that matters.</i>"
"36","cue","00:01:45,730","00:01:46,856","{\an8}<i>[Marshall] Mm-hmm.</i>"
"37","cue","00:01:47,899","00:01:49,150","<i>[door lock beeping]</i>"
"38","cue","00:01:49,234","00:01:50,151","<i>I love Jackie.</i>"
"39","cue","00:01:50,235","00:01:53,113","<i>I've never been so certain</i>
<i>about anything in my entire life.</i>"
"40","cue","00:01:53,196","00:01:55,573","<i>And there was never a doubt in my mind.</i>"
"41","cue","00:01:55,657","00:01:58,284","<i>Jackie and I were designed for each other.</i>"
"42","cue","00:01:58,368","00:02:01,079","<i>And so, to be where we are now,</i>"
"43","cue","00:02:01,162","00:02:02,664","<i>I'm shocked. I'm stunned.</i>"
"44","cue","00:02:02,747","00:02:03,706","{\an8}<i>And it hurts.</i>"
"45","cue","00:02:06,167","00:02:07,001","{\an8}<i>[sniffles]</i>"
"46","cue","00:02:08,378","00:02:11,840","<i>How do I go from being</i>
<i>so sure about something, so certain</i>"
"47","cue","00:02:12,423","00:02:16,052","<i>about anything that I've ever done</i>
<i>in my life to being so uncertain</i>"
"48","cue","00:02:16,678","00:02:17,512","<i>and unclear?</i>"
"49","cue","00:02:18,721","00:02:20,640","<i>[sighs]</i>"
"50","cue","00:02:22,100","00:02:24,394","<i>You need something to drink? Water?</i>"
"51","cue","00:02:24,477","00:02:26,646","<i>[Jackelina] Yeah.</i>
<i>I need a water, for sure.</i>"
"52","cue","00:02:29,649","00:02:30,525","<i>I'm tired.</i>"
"53","cue","00:02:32,318","00:02:33,862","<i>I had a long-ass day.</i>"
"54","cue","00:02:38,074","00:02:39,284","<i>How are you feeling?</i>"
"55","cue","00:02:40,201","00:02:41,828","<i>[Marshall] Seeing everyone else tonight…</i>"
"56","cue","00:02:43,663","00:02:45,707","<i>I need you to lay it out for me plain.</i>"
"57","cue","00:02:45,790","00:02:48,084","<i>What do you need from me,</i>
<i>what do you require from me,</i>"
"58","cue","00:02:48,168","00:02:50,336","<i>so that I know, moving forward. That's it.</i>"
"59","cue","00:02:50,420","00:02:51,838","<i>Oh, my God.</i>"
"60","cue","00:02:51,921","00:02:53,923","<i>[gasps] I can't talk about this anymore.</i>"
"61","cue","00:02:54,007","00:02:55,633","<i>My brain is shot, Marshall.</i>"
"62","cue","00:02:56,551","00:02:57,927","<i>Like, it's almost midnight.</i>"
"63","cue","00:02:58,636","00:03:00,180","<i>Can we talk about this tomorrow?</i>"
"64","cue","00:03:04,017","00:03:05,643","<i>If-- If that's--</i>"
"65","cue","00:03:05,727","00:03:07,854","<i>If that's what you--</i>
<i>If that's what you want.</i>"
"66","cue","00:03:11,566","00:03:14,694","<i>You're doing great.</i>
<i>I don't expect anything from you.</i>"
"67","cue","00:03:16,654","00:03:18,948","<i>I think that you're doing just fine.</i>"
"68","cue","00:03:21,117","00:03:23,036","<i>I was left with a big question mark.</i>"
"69","cue","00:03:24,787","00:03:25,622","<i>From me?</i>"
"70","cue","00:03:26,623","00:03:30,043","<i>Or internally</i>
<i>because you have that question mark?</i>"
"71","cue","00:03:31,252","00:03:32,128","<i>From you.</i>"
"72","cue","00:03:32,212","00:03:35,215","<i>I thought we were fine.</i>
<i>I thought we ended up fine.</i>"
"73","cue","00:03:40,386","00:03:42,472","<i>-You got some pretty eyes on you.</i>
<i>-Hmm?</i>"
"74","cue","00:03:42,555","00:03:44,849","<i>-You got some pretty eyes on you.</i>
<span style=""style2"">-</i><i>Thank you.</i>"
"75","cue","00:03:47,227","00:03:50,313","<i>Brett gave me advice tonight</i>
<i>that I didn't know that I needed.</i>"
"76","cue","00:03:51,022","00:03:54,150","<i>It's time to protect…</i>"
"77","cue","00:03:56,277","00:04:01,908","<i>my feelings and not…</i>
<i>not sugarcoat or change anything</i>"
"78","cue","00:04:01,991","00:04:05,411","<i>based off of how--</i>
<i>how you're feeling anymore.</i>"
"79","cue","00:04:06,162","00:04:07,455","<i>Totally valid.</i>"
"80","cue","00:04:07,538","00:04:09,707","<i>Just tell me exactly</i>
<i>what you need from me,</i>"
"81","cue","00:04:09,791","00:04:13,127","<i>so I'm not guessing through the night</i>
<i>and guessing when we wake up,</i>"
"82","cue","00:04:13,211","00:04:15,672","<i>because you leave</i>
<i>before I even start my day.</i>"
"83","cue","00:04:16,756","00:04:18,424","<i>But I always come back home.</i>"
"84","cue","00:04:18,925","00:04:21,761","<i>But that does not mean that I'm</i>
<i>not thinking about it throughout the day.</i>"
"85","cue","00:04:26,432","00:04:27,934","<i>I had an emotional day.</i>"
"86","cue","00:04:29,018","00:04:31,145","<i>I'm having</i>
<i>emotional conversations with people</i>"
"87","cue","00:04:31,229","00:04:33,606","<i>that I don't even know</i>
<i>what the fuck is going on.</i>"
"88","cue","00:04:34,732","00:04:38,569","<i>[laughs] And I'm just like,</i>
<i>I just wanna go to bed.</i>"
"89","cue","00:04:38,653","00:04:40,405","<i>I'm tired just as much as you are.</i>"
"90","cue","00:04:41,030","00:04:43,408","<i>I gotta go into the office tomorrow.</i>
<i>I gotta go to Redmond.</i>"
"91","cue","00:04:44,117","00:04:45,868","<i>-We good!</i>
<i>-We're not good.</i>"
"92","cue","00:04:46,869","00:04:49,747","<i>I need to know exactly what you require</i>
<i>from me so I can move forward.</i>"
"93","cue","00:04:49,831","00:04:54,377","<i>What I told you, what I required from you,</i>
<i>is the reason why you left.</i>"
"94","cue","00:04:55,211","00:04:56,963","<i>-But--</i>
<i>-I'm not saying that shit again.</i>"
"95","cue","00:04:57,046","00:04:58,548","<i>Okay, so what are the examples though?</i>"
"96","cue","00:04:58,631","00:05:02,593","<i>[gasps] I can't give no examples</i>
<i>at no midnight, bro.</i>"
"97","cue","00:05:08,016","00:05:08,850","<i>Marshall.</i>"
"98","cue","00:05:09,600","00:05:13,521","<i>I think you are a great guy.</i>
<i>I think you're so sweet.</i>"
"99","cue","00:05:18,443","00:05:19,444","<i>Just love me.</i>"
"100","cue","00:05:24,949","00:05:26,284","<i>Just love me.</i>"
"101","cue","00:05:26,367","00:05:28,161","<i>-[""Never Give Up"" playing]</i>
<span style=""style2"">-♪ Never give up ♪</i>"
"102","cue","00:05:28,244","00:05:31,039","<i>[vocalizing]</i>"
"103","cue","00:05:32,373","00:05:34,208","{\an8}<i>♪ Never give up ♪</i>"
"104","cue","00:05:35,209","00:05:38,421","{\an8}<i>♪ Just never give up ♪</i>"
"105","cue","00:05:38,504","00:05:40,715","{\an8}<i>♪ Never give up ♪</i>"
"106","cue","00:05:40,798","00:05:42,425","{\an8}<i>-[woman] Can I see your ring?</i>
<i>-Oh, yeah.</i>"
"107","cue","00:05:42,508","00:05:43,593","{\an8}<i>[laughing]</i>"
"108","cue","00:05:43,676","00:05:46,137","{\an8}<i>-It's so pretty.</i>
<i>-Sometimes I forget that it's on.</i>"
"109","cue","00:05:46,220","00:05:47,555","{\an8}<i>[Zack] It's one thing for me</i>"
"110","cue","00:05:47,638","00:05:50,016","{\an8}<i>to kind of tell Bliss a little bit</i>
<i>about how I grew up</i>"
"111","cue","00:05:50,099","00:05:51,434","{\an8}<i>and where I came from,</i>"
"112","cue","00:05:51,517","00:05:54,520","{\an8}<i>but I think it's a little bit different</i>
<i>when she meets my family.</i>"
"113","cue","00:05:54,604","00:05:58,316","<i>They're important to me,</i>
<i>and she's important to me.</i>"
"114","cue","00:05:58,900","00:06:03,321","<i>I think when it's all over,</i>
<i>when we're laying on our deathbeds,</i>"
"115","cue","00:06:04,030","00:06:05,531","<i>family is really all you got.</i>"
"116","cue","00:06:05,615","00:06:06,908","{\an8}<i>When was this one?</i>"
"117","cue","00:06:07,408","00:06:10,161","{\an8}<i>-[woman] Zack and our mom at her wedding.</i>
<i>-[Bliss] Aww!</i>"
"118","cue","00:06:10,244","00:06:11,662","<i>Oh, look how cute!</i>"
"119","cue","00:06:12,205","00:06:15,625","<i>-Law school graduation, yeah.</i>
<i>-[women laughing]</i>"
"120","cue","00:06:15,708","00:06:18,419","<i>[Bliss] You look so happy.</i>
<i>You're like, ""Yes, I'm done studying.""</i>"
"121","cue","00:06:18,503","00:06:20,838","<i>-[Zack] That's exactly how I felt.</i>
<i>-[all laughing]</i>"
"122","cue","00:06:20,922","00:06:23,633","<i>[Bliss] It's so lovely</i>
<i>that you guys came here to support him.</i>"
"123","cue","00:06:23,716","00:06:24,801","<i>That really means a lot.</i>"
"124","cue","00:06:25,385","00:06:28,137","<i>-It's true.</i>
<i>-[woman] What made him stand out?</i>"
"125","cue","00:06:28,221","00:06:31,182","{\an8}<i>-[laughing] Where do I begin?</i>
<i>-I mean, I know, probably.</i>"
"126","cue","00:06:31,265","00:06:32,558","{\an8}<i>But, like, I wanna know.</i>"
"127","cue","00:06:33,184","00:06:35,186","{\an8}<i>You know, gosh,</i>
<i>it was so many different things.</i>"
"128","cue","00:06:35,269","00:06:36,979","{\an8}<i>Obviously, he's super smart.</i>"
"129","cue","00:06:37,063","00:06:38,815","{\an8}<i>He's just, like, so giving too.</i>"
"130","cue","00:06:38,898","00:06:40,441","<i>He just really inspires me.</i>"
"131","cue","00:06:40,525","00:06:43,111","<i>There's a lot of strength</i>
<i>in someone to be able to, like,</i>"
"132","cue","00:06:43,194","00:06:44,821","{\an8}<i>choose to, you know,</i>"
"133","cue","00:06:44,904","00:06:48,282","{\an8}<i>do certain things when it'd be easier</i>
<i>to maybe go a different way.</i>"
"134","cue","00:06:48,366","00:06:51,911","{\an8}<i>And my dad kind of has</i>
<i>a similar kind of childhood and stuff.</i>"
"135","cue","00:06:51,994","00:06:55,540","<i>And he also chose different paths,</i>
<i>and it's not easy to do that.</i>"
"136","cue","00:06:55,623","00:06:57,834","<i>So, I just really deeply,</i>
<i>like, admire him.</i>"
"137","cue","00:06:58,793","00:07:00,795","<i>[Becky] He could have went down</i>
<i>many different roads,</i>"
"138","cue","00:07:00,878","00:07:05,091","<i>and he only chose the up road, always,</i>
<i>and put everybody before himself.</i>"
"139","cue","00:07:05,174","00:07:07,510","<i>And… super proud. [chuckles]</i>"
"140","cue","00:07:08,803","00:07:11,264","{\an8}<i>[Bliss] Yeah, and I think in those moments</i>
<i>of really hard times,</i>"
"141","cue","00:07:11,347","00:07:13,641","{\an8}<i>like, that's when</i>
<i>your true character comes out.</i>"
"142","cue","00:07:13,724","00:07:14,976","<i>Like, who you really are.</i>"
"143","cue","00:07:15,059","00:07:19,230","<i>And so, yeah, I think he just was also</i>
<i>really just open about things,</i>"
"144","cue","00:07:19,313","00:07:22,692","<i>and he's very, like, honest, and I just</i>
<i>feel like I can really trust him.</i>"
"145","cue","00:07:24,193","00:07:28,030","<i>I take, like, marriage very seriously</i>
<i>and, like, commitment very seriously.</i>"
"146","cue","00:07:28,114","00:07:29,657","<i>I think when people say like,</i>"
