"index","type","start","end","text"
"0","cue","00:00:05,400","00:00:09,360","[narrator]
<i>Previously on</i> Love Island Australia<i>…</i>"
"1","cue","00:00:09,440","00:00:11,840","{\an8}-[rings]
-[narrator] <i>The Truth Bike returned…</i>"
"2","cue","00:00:11,920","00:00:13,880","Do you count flirting as cheating?"
"3","cue","00:00:13,960","00:00:15,200","No."
"4","cue","00:00:15,280","00:00:16,600","It's a red flag."
"5","cue","00:00:16,680","00:00:18,560","[narrator] <i>…pedaling chaos…</i>"
"6","cue","00:00:18,640","00:00:20,560","Did you sleep with Emily more than once?"
"7","cue","00:00:20,640","00:00:22,600","No, we pretty much didn't speak after it."
"8","cue","00:00:22,680","00:00:23,720","I was like, ""Block her."""
"9","cue","00:00:23,800","00:00:25,280","{\an8}[narrator] <i>…and tears.</i>"
"10","cue","00:00:25,360","00:00:28,080","Could you see a relationship with Phoebe H
on the outside?"
"11","cue","00:00:28,160","00:00:29,640","No, not at this point of time."
"12","cue","00:00:29,720","00:00:31,400","We are definitely on a different level."
"13","cue","00:00:32,439","00:00:34,360","It's just not nice to hear."
"14","cue","00:00:34,440","00:00:36,480","[narrator] <i>And after a recoupling…</i>"
"15","cue","00:00:36,560","00:00:38,040","-Mitchell.
-Al."
"16","cue","00:00:38,600","00:00:40,000","-Austen.
-Jordan."
"17","cue","00:00:40,640","00:00:41,760","Mitch."
"18","cue","00:00:41,840","00:00:43,120","Callum."
"19","cue","00:00:43,200","00:00:45,360","Tak, unfortunately,
you have been left single."
"20","cue","00:00:45,440","00:00:48,320","[narrator] <i>…it was toodle-oo to Tak.</i>"
"21","cue","00:00:53,440","00:00:56,000","<i>Tonight…</i>"
"22","cue","00:00:58,920","00:01:00,840","<i>Two new bombs…</i>"
"23","cue","00:01:01,360","00:01:02,760","Good morning."
"24","cue","00:01:02,840","00:01:04,519","[Callum] She is banging."
"25","cue","00:01:04,599","00:01:07,080","There's bombs and bombshells,
but she's a nuke."
"26","cue","00:01:07,160","00:01:08,920","-Nice to meet ya.
-Phoebe."
"27","cue","00:01:09,000","00:01:10,960","[narrator] <i>…one massive secret.</i>"
"28","cue","00:01:11,040","00:01:12,720","<i>They're twins.</i>"
"29","cue","00:01:12,800","00:01:16,000","Definitely gonna be hard to not give away
that me and Maddy are twins."
"30","cue","00:01:16,080","00:01:17,360","What do you think of the new chick?"
"31","cue","00:01:17,440","00:01:18,720","-She has a good vibe.
-Good vibe?"
"32","cue","00:01:18,800","00:01:19,880","Do you find him hot?"
"33","cue","00:01:19,960","00:01:22,120","It's so hard to keep a straight face."
"34","cue","00:01:22,200","00:01:24,840","I'm just trying to remain
absolutely neutral."
"35","cue","00:01:24,920","00:01:26,320","[narrator] <i>And…</i>"
"36","cue","00:01:26,400","00:01:28,160","Do you think you'd turn your head?"
"37","cue","00:01:28,240","00:01:30,240","Are you open to getting to know
other people?"
"38","cue","00:01:30,320","00:01:32,040","[narrator] <i>…double the drama.</i>"
"39","cue","00:01:32,120","00:01:34,000","What impression did you give her?"
"40","cue","00:01:34,080","00:01:35,800","How much reassurance
do I have to give you?"
"41","cue","00:01:35,880","00:01:37,880","Why are you listening to other people
but not Al?"
"42","cue","00:01:37,960","00:01:41,360","Th-- This conversation is not even over,
so stop interjecting."
"43","cue","00:01:41,440","00:01:45,080","No, I'm so sick of it because
you guys are making me out to be a psycho."
"44","cue","00:02:16,480","00:02:21,400","[sighs] Callum and Tak, one of you
is about to be dumped from the island."
"45","cue","00:02:31,520","00:02:33,360","Tina, please stand up."
"46","cue","00:02:42,880","00:02:45,200","So, the boy I would like to
couple up with is…"
"47","cue","00:02:51,400","00:02:52,400","Callum."
"48","cue","00:02:54,920","00:02:56,800","[cheering]"
"49","cue","00:03:02,040","00:03:04,760","[Tak] Girls of Australia,
stop falling for fuckboys."
"50","cue","00:03:06,840","00:03:09,640","[narrator]
<i>Prediction: They will not stop falling.</i>"
"51","cue","00:03:10,160","00:03:12,960","<i>At the recoupling, Stella chose Mitch,</i>"
"52","cue","00:03:13,040","00:03:14,920","<i>and Tina chose Callum</i>"
"53","cue","00:03:15,000","00:03:16,440","<i>because Stella chose Mitch.</i>"
