"index","type","start","end","text"
"0","cue","00:00:08,880","00:00:12,600","[narrator]
<i>Previously on</i> Love Island Australia<i>…</i>"
"1","cue","00:00:13,120","00:00:15,400","Brings back memories on the day bed."
"2","cue","00:00:15,480","00:00:18,160","[narrator] <i>Titch got freaky in the tepee…</i>"
"3","cue","00:00:18,240","00:00:20,960","[Tina] To end up with Mitch feels right
and it feels good."
"4","cue","00:00:21,040","00:00:23,320","So I'm just gonna lean into it."
"5","cue","00:00:23,400","00:00:26,480","[narrator]
…<i>Mitchell made it official with Phoebe.</i>"
"6","cue","00:00:26,560","00:00:29,280","-Will you be my girlfriend? [laughs]
-[screams, laughs]"
"7","cue","00:00:29,360","00:00:33,320","He's honestly so amazing, and I just
can't imagine my life without him now."
"8","cue","00:00:33,400","00:00:34,840","[Islanders cheering]"
"9","cue","00:00:34,920","00:00:37,640","[narrator] <i>Then Phoebe got interfere-y…</i>"
"10","cue","00:00:37,720","00:00:40,840","She goes, ""This is where I trust Austen.
This is where I trust Mitch."""
"11","cue","00:00:40,920","00:00:44,560","[narrator] <i>…causing Austen and Claudia</i>
<i>to have a conflict-y.</i>"
"12","cue","00:00:44,640","00:00:46,040","Again, there's no trust."
"13","cue","00:00:46,120","00:00:49,880","And I'm really sick and tired of Phoebe
telling everything that I've said."
"14","cue","00:00:49,960","00:00:52,680","Phoebe has done my head in.
She's actually done my head in."
"15","cue","00:00:52,760","00:00:54,480","-No.
-So, who started this shit?"
"16","cue","00:00:55,080","00:00:58,000","-Me.
-Ah, the old head snake."
"17","cue","00:01:02,040","00:01:04,280","[narrator] <i>Tonight…</i>"
"18","cue","00:01:05,160","00:01:07,160","-I would never do that to you.
-[Phoebe] Yeah."
"19","cue","00:01:07,680","00:01:09,480","[narrator] <i>Phoebe faces the music…</i>"
"20","cue","00:01:09,560","00:01:12,280","You have pissed me
the fuck off today. A lot."
"21","cue","00:01:12,360","00:01:13,480","Yeah, I know."
"22","cue","00:01:13,560","00:01:15,800","I don't have an excuse for it
and I am sorry."
"23","cue","00:01:17,040","00:01:19,800","[narrator] …<i>before Al gets romantic…</i>"
"24","cue","00:01:19,880","00:01:22,040","-[gasps]
-[Al] To new beginnings. Our relationship."
"25","cue","00:01:22,120","00:01:25,360","You're someone really special to me, Jess,
and you mean a lot to me."
"26","cue","00:01:25,440","00:01:27,640","[narrator] …<i>the way he knows best.</i>"
"27","cue","00:01:27,720","00:01:29,160","[Al] Yeah!"
"28","cue","00:01:29,240","00:01:32,000","-Oh, my goodness, you're special.
-[giggling]"
"29","cue","00:01:32,880","00:01:35,720","[narrator] <i>And the Monk is back…</i>"
"30","cue","00:01:35,800","00:01:39,520","There's so much love in the villa tonight,
and then I turn up and ruin it all."
"31","cue","00:01:39,600","00:01:42,120","[narrator] …<i>which is bad news for someone.</i>"
"32","cue","00:01:44,880","00:01:46,760","[Sophie]
You are now dumped from the island."
"33","cue","00:01:48,880","00:01:50,560","I said I wouldn't cry. [inhales]"
"34","cue","00:02:05,320","00:02:06,800","[Claudia] I'm frustrated with him."
"35","cue","00:02:07,560","00:02:09,080","[Austen] How much more can a man take?"
"36","cue","00:02:14,080","00:02:16,920","I did everything right,
but somehow there still was a problem."
"37","cue","00:02:17,000","00:02:18,920","But I didn't know that
when I was sitting down there."
"38","cue","00:02:19,920","00:02:21,240","Yeah."
"39","cue","00:02:21,320","00:02:24,160","Do you understand that?
Or are you saying yes to please me?"
"40","cue","00:02:25,480","00:02:26,840","No, I understand that."
"41","cue","00:02:31,560","00:02:33,320","How much more have I gotta prove myself?"
"42","cue","00:02:33,400","00:02:35,520","If you're gonna get your back up
at something I've said"
"43","cue","00:02:35,600","00:02:38,200","to the girls in ""confidence,""
don't get your guard up"
"44","cue","00:02:38,280","00:02:40,680","-before you actually talk to me.
-Mm-hmm."
"45","cue","00:02:40,760","00:02:42,880","I need a bit more of an answer than
""mm-hmm."""
"46","cue","00:02:42,960","00:02:44,520","Mm-hmm."
"47","cue","00:02:46,160","00:02:48,120","Do you want to be
having this chat right now?"
"48","cue","00:02:48,200","00:02:51,040","Fucking can't stand arguing
with you all the time."
"49","cue","00:02:51,120","00:02:52,320","Arguing all the time?"
"50","cue","00:02:53,480","00:02:55,240","I want it to be over and done with."
"51","cue","00:03:09,520","00:03:11,520","[crickets chirping]"
"52","cue","00:03:15,440","00:03:18,880","[narrator]
<i>Well, no one's exactly over the moon.</i>"
"53","cue","00:03:31,560","00:03:34,080","[Claudia]
Phoebe got in the middle of Austen and I,"
"54","cue","00:03:34,160","00:03:38,560","and it just made things a lot worse
than they should have been."
"55","cue","00:03:41,360","00:03:42,880","[Austen] I don't like conflict."
"56","cue","00:03:42,960","00:03:46,480","And I'm hoping that everything
between me and Claudia is okay."
"57","cue","00:03:49,160","00:03:52,840","[Claudia] I feel like Austen and I still
do need to talk about the whole thing."
"58","cue","00:04:02,000","00:04:03,840","I'm not here to change Claudia."
"59","cue","00:04:03,920","00:04:05,800","-It's not my intention.
-[Jess] Yeah."
"60","cue","00:04:05,880","00:04:08,800","I'm here because I'm falling in love
with Claudia."
"61","cue","00:04:08,880","00:04:09,880","Aw."
"62","cue","00:04:09,960","00:04:12,960","And yeah, I know
that I have to love her for who she is."
"63","cue","00:04:13,040","00:04:14,280","-[Jess] Yeah.
-And I do."
"64","cue","00:04:14,360","00:04:16,120","I understand
what Claudia is going through."
"65","cue","00:04:16,200","00:04:18,760","I understand
there are two sides to a story."
"66","cue","00:04:18,839","00:04:20,680","What set me off was when Phoebe told me"
"67","cue","00:04:20,760","00:04:22,840","that Claudia said,
""My trust for Mitch is up here"
"68","cue","00:04:22,920","00:04:24,120","and my trust Austen's down here."""
"69","cue","00:04:24,200","00:04:28,120","Phoebe, she kind of told me things
that I didn't really need to hear"
"70","cue","00:04:28,200","00:04:30,360","that just amplified my emotions even more."
"71","cue","00:04:30,440","00:04:31,640","I know that she means well."
"72","cue","00:04:31,720","00:04:34,200","-I know she's coming from a place of love.
-[Jess] Hmm."
"73","cue","00:04:34,280","00:04:36,320","But it's me and Claudia's relationship."
"74","cue","00:04:36,400","00:04:40,360","Maybe just keep your nose out of it
a little bit, in the nicest way possible."
"75","cue","00:04:41,160","00:04:43,320","-I like the brown.
-Aw, thank you."
"76","cue","00:04:44,160","00:04:46,080","[Austen inhales sharply] Um… [sighs]"
