"index","type","start","end","text"
"0","cue","00:00:06,000","00:00:07,360","[melodic chime]"
"1","cue","00:00:09,000","00:00:10,680","<i>♪ You're in the right place ♪</i>"
"2","cue","00:00:10,760","00:00:11,760","<i>♪ Oh ♪</i>"
"3","cue","00:00:13,880","00:00:15,560","[groaning and yawning]"
"4","cue","00:00:16,280","00:00:19,000","Morning! [giggles]"
"5","cue","00:00:19,080","00:00:20,160","Jesus."
"6","cue","00:00:20,240","00:00:21,600","[melodic chime]"
"7","cue","00:00:21,680","00:00:23,320","Why, bro?"
"8","cue","00:00:23,720","00:00:25,560","Lana, you're really taking the piss."
"9","cue","00:00:26,320","00:00:27,160","[Lana] <i>Good morning.</i>"
"10","cue","00:00:27,240","00:00:29,920","<i>I'm pleased that there were
no rule breaks last night.</i>"
"11","cue","00:00:30,000","00:00:31,400","No one fucking asked."
"12","cue","00:00:31,800","00:00:34,360","<i>Today is your first full day
in the retreat,</i>"
"13","cue","00:00:34,440","00:00:37,600","<i>and the weather will be sunny,
with highs of 82° Fahrenheit,</i>"
"14","cue","00:00:38,000","00:00:40,680","<i>and there'll be zero chance of sex.</i>"
"15","cue","00:00:41,400","00:00:42,440","[he laughs]"
"16","cue","00:00:42,520","00:00:43,640","[she giggles]"
"17","cue","00:00:43,720","00:00:45,360","She got a bit of lip on her today, eh?"
"18","cue","00:00:45,440","00:00:46,440","Yeah."
"19","cue","00:00:46,800","00:00:49,760","""Zero chance of sex."" [laughs]"
"20","cue","00:00:49,840","00:00:51,800","She's fucking quality, she is."
"21","cue","00:00:53,840","00:00:56,720","<i>Yeah, the only moans and groans
we heard last night</i>"
"22","cue","00:00:56,800","00:01:00,080","<i>were the guests
griping over Lana's new rules.</i>"
"23","cue","00:01:01,080","00:01:03,160","If they could've made a horror movie,
this is it."
"24","cue","00:01:03,240","00:01:05,360","This is the worst horror movie
you could think of."
"25","cue","00:01:06,600","00:01:09,120","It's like I lost my mom, like, I'm so sad."
"26","cue","00:01:09,200","00:01:10,920","[blows nose loudly]"
"27","cue","00:01:11,360","00:01:12,840","I didn't come here for sex."
"28","cue","00:01:13,240","00:01:15,320","Well, I did. I did."
"29","cue","00:01:15,400","00:01:17,520","It's cool. I'm a born-again virgin."
"30","cue","00:01:18,760","00:01:21,600","<i>I guess miracles do happen
when Jesus is around.</i>"
"31","cue","00:01:21,680","00:01:23,720","[choral singing]"
"32","cue","00:01:25,840","00:01:29,040","Obviously, last night's rules
were a bit of a kick to the nuts."
"33","cue","00:01:29,600","00:01:33,480","Me and Francesca just cuddled
and had a bit of pillow talk."
"34","cue","00:01:33,960","00:01:37,160","But today, I couldn't give two shits
about Lana's rules."
"35","cue","00:01:37,240","00:01:40,160","I'm a rule breaker.
Francesca's a naughty little possum,"
"36","cue","00:01:40,240","00:01:43,960","and all I want to do
is some naughty things to her."
"37","cue","00:01:44,040","00:01:45,280","[he laughs]"
"38","cue","00:01:45,360","00:01:48,880","<i>All that sexual energy
has to go somewhere, right?</i>"
"39","cue","00:01:50,200","00:01:51,360","How are you doing, darling?"
"40","cue","00:01:53,200","00:01:54,200","Was it good?"
"41","cue","00:01:54,640","00:01:56,520","No, we didn't, I promise."
"42","cue","00:01:56,600","00:01:59,480","Naughty possum.
You naughty little possum."
"43","cue","00:01:59,720","00:02:02,080","I know how challenging the next..."
"44","cue","00:02:02,720","00:02:04,360","...like, this summer's gonna be"
"45","cue","00:02:04,440","00:02:05,960","when we can't do anything,"
"46","cue","00:02:06,040","00:02:09,840","because you can see quite how
sexually frustrated everyone is already."
"47","cue","00:02:10,240","00:02:11,880","Hey, you two."
"48","cue","00:02:11,960","00:02:14,320","Cuddles only."
"49","cue","00:02:14,640","00:02:17,960","Going without sex was not my plan."
"50","cue","00:02:18,400","00:02:19,640","You have very soft skin."
"51","cue","00:02:19,720","00:02:23,680","Like, as if some robot is telling me..."
"52","cue","00:02:24,160","00:02:27,440","that I can't do anything
with any of the boys."
"53","cue","00:02:27,520","00:02:29,280","Ah, baby."
"54","cue","00:02:29,360","00:02:31,720","It's like I can look, but I can't touch."
"55","cue","00:02:32,600","00:02:33,680","That's very annoying."
"56","cue","00:02:34,520","00:02:37,040","<i>Well, technically, Nicole, you can touch.</i>"
"57","cue","00:02:37,720","00:02:40,080","<i>The cuddles and the snuggles
are all legal,</i>"
"58","cue","00:02:40,360","00:02:41,680","<i>but kissing,</i>"
"59","cue","00:02:42,200","00:02:43,720","<i>self-gratification,</i>"
"60","cue","00:02:44,720","00:02:45,800","<i>and sex</i>"
"61","cue","00:02:46,520","00:02:48,880","<i>will only result
in the prize money plummeting.</i>"
"62","cue","00:02:49,640","00:02:51,640","<i>The bigger the crime, the bigger the fine.</i>"
"63","cue","00:02:52,880","00:02:55,440","<i>♪ Don't touch what you can't afford ♪</i>"
"64","cue","00:02:56,000","00:02:58,920","<i>So, these sexed-up singles
will have to keep it in their pants</i>"
"65","cue","00:02:59,000","00:03:01,760","<i>to find out what having
a real relationship is like.</i>"
"66","cue","00:03:02,880","00:03:04,280","I'd only just put it in for a bit."
"67","cue","00:03:04,360","00:03:07,520","<i>That's easier said than done
for these horny hotties.</i>"
"68","cue","00:03:08,280","00:03:10,640","So, kissing. How much is that gonna cost?"
"69","cue","00:03:10,720","00:03:12,656","- If I kissed you like...
- [David] You don't know."
"70","cue","00:03:12,680","00:03:15,120","- That would be ten dollars.
- [David] You don't know, though."
"71","cue","00:03:15,360","00:03:18,360","But if it was a proper, full-on,
grabbing you, kind of like..."
"72","cue","00:03:18,800","00:03:20,840","So, we're grading sex, too?
Like, was it..."
"73","cue","00:03:21,120","00:03:22,800","Did she moan, did she scream?"
"74","cue","00:03:22,880","00:03:26,280","Imagine if it's, like, head banging
against the wall, legs everywhere."
