"index","type","start","end","text"
"0","cue","00:00:06,360","00:00:07,480","[melodic chime]"
"1","cue","00:00:15,360","00:00:18,160","Haley's a great kisser.
She is a phenomenal kisser"
"2","cue","00:00:18,240","00:00:19,800","and I wouldn't mind kissing her again."
"3","cue","00:00:20,600","00:00:23,880","<i>They've just kissed goodbye to $3,000,</i>"
"4","cue","00:00:23,960","00:00:24,960","<i>literally.</i>"
"5","cue","00:00:25,400","00:00:29,080","Now that me and Francesca have kissed,
we are not gonna tell a soul."
"6","cue","00:00:29,480","00:00:32,200","Everyone else is gonna get blamed,
and I wanna sit back and watch."
"7","cue","00:00:34,160","00:00:35,280","We have to be like..."
"8","cue","00:00:35,880","00:00:38,000","- ""Who did that?""
- ""What the fuck?"""
"9","cue","00:00:38,480","00:00:39,600","[they laugh]"
"10","cue","00:00:39,680","00:00:40,760","I just need some popcorn."
"11","cue","00:00:40,840","00:00:42,880","I'm gonna sit back
and enjoy the reactions,"
"12","cue","00:00:42,960","00:00:45,160","'cause I know it's gonna be fucking epic."
"13","cue","00:00:48,000","00:00:50,520","I'm just nervous now
to see what's to come."
"14","cue","00:00:50,600","00:00:52,440","So much has happened
in the last few days."
"15","cue","00:00:52,880","00:00:54,480","[Haley] Hey, act cool. Be casual."
"16","cue","00:00:56,080","00:00:57,080","<i>That's it, girls.</i>"
"17","cue","00:00:57,240","00:01:00,240","<i>Be casual. Avoid all suspicion...</i>"
"18","cue","00:01:02,120","00:01:04,760","<i>by climbing into bed together.</i>"
"19","cue","00:01:06,000","00:01:09,440","Either way, it's gonna shake everyone up,
'cause no one's gonna think it was us."
"20","cue","00:01:10,840","00:01:12,600","<i>Yeah, but </i>we <i>know it was you.</i>"
"21","cue","00:01:12,680","00:01:16,000","<i>So, the cameras will be keeping
a close eye on you all night.</i>"
"22","cue","00:01:16,080","00:01:18,080","- Good night!
- Good night, everyone."
"23","cue","00:01:18,600","00:01:20,240","<i>Activate night vision.</i>"
"24","cue","00:01:28,800","00:01:29,880","[snoring]"
"25","cue","00:01:31,880","00:01:33,080","[snoring continues]"
"26","cue","00:01:33,160","00:01:35,600","<i>Is that Sharron waking up Rhonda?</i>"
"27","cue","00:01:36,320","00:01:38,760","<i>Maybe he's had a nightmare
and needs soothing?</i>"
"28","cue","00:01:44,920","00:01:46,520","<i>Oh, no. He's just horny.</i>"
"29","cue","00:01:48,720","00:01:50,440","I'm about to go get in the shower."
"30","cue","00:01:52,480","00:01:53,480","You could join me..."
"31","cue","00:01:53,800","00:01:54,800","if you want?"
"32","cue","00:01:57,280","00:02:00,640","<i>Lana can still see you in the shower.
You know that, right?</i>"
"33","cue","00:02:01,120","00:02:02,800","[Sharron] I can't stop thinking about sex."
"34","cue","00:02:03,240","00:02:06,040","She's just a walking temptation.
Her body is amazing."
"35","cue","00:02:06,760","00:02:09,320","[Rhonda] You feel like
you're at your breaking point now?"
"36","cue","00:02:10,000","00:02:12,760","At the end of the day, I'm a guy."
"37","cue","00:02:12,840","00:02:15,160","Not that we're weak or anything, but..."
"38","cue","00:02:15,240","00:02:16,880","sex is like brushing your teeth."
"39","cue","00:02:16,960","00:02:18,760","I mean it is, but..."
"40","cue","00:02:19,560","00:02:22,440","[Rhonda] We have such a sexual chemistry."
"41","cue","00:02:22,840","00:02:24,880","He's a very tempting person."
"42","cue","00:02:28,480","00:02:30,840","But Lana has these rules in place."
"43","cue","00:02:30,920","00:02:31,920","I feel like..."
"44","cue","00:02:32,600","00:02:36,600","[sighs] I'm trying to take these steps
and follow the rules"
"45","cue","00:02:36,680","00:02:39,600","so that maybe it can...
Like, more can come from this."
"46","cue","00:02:40,720","00:02:41,920","I mean, how much longer"
"47","cue","00:02:42,000","00:02:44,240","you think you're gonna be able
to keep doing this?"
"48","cue","00:02:45,440","00:02:48,240","I don't know how long
I can go without sex."
"49","cue","00:02:48,880","00:02:51,160","I mean, I am a sex icon."
"50","cue","00:02:52,200","00:02:55,000","<i>You got up at 2:30 a.m. to tell us that?</i>"
"51","cue","00:02:58,600","00:02:59,600","[Sharron] Sleep on it."
"52","cue","00:03:00,040","00:03:02,200","- Think about it.
- I'm always sleeping on it."
"53","cue","00:03:05,120","00:03:08,520","<i>Wait, you guys are sleeping on it
in separate beds though, right?</i>"
"54","cue","00:03:09,720","00:03:10,720","<i>Phew!</i>"
"55","cue","00:03:11,120","00:03:12,440","<i>♪ Body do the talking ♪</i>"
"56","cue","00:03:22,680","00:03:26,120","<i>Unbelievably,
no one broke the rules last night.</i>"
"57","cue","00:03:26,440","00:03:29,120","<i>I know someone
who will be happy about that.</i>"
"58","cue","00:03:29,640","00:03:32,520","I will turn this water into wine
and feed you bread"
"59","cue","00:03:32,600","00:03:35,720","if you just keep your penises
in your pants. Yeah!"
"60","cue","00:03:35,800","00:03:37,360","<i>♪ Hallelujah! ♪</i>"
"61","cue","00:03:37,440","00:03:39,240","Jesus. Rock and roll Jesus."
"62","cue","00:03:39,320","00:03:40,760","<i>I thought that was Bono.</i>"
"63","cue","00:03:42,520","00:03:43,560","Last night,"
"64","cue","00:03:44,800","00:03:47,600","Sharron woke up Rhonda,"
"65","cue","00:03:47,880","00:03:51,520","and then they go into the dressing room."
"66","cue","00:03:51,600","00:03:54,400","They're being little sketch bags.
They could bang at any point,"
"67","cue","00:03:54,480","00:03:56,080","and they're just gonna deny it."
"68","cue","00:03:56,720","00:03:58,280","This is the retreat pot."
"69","cue","00:03:58,360","00:04:00,280","Me and Haley are just gonna..."
"70","cue","00:04:01,280","00:04:03,160","We're just gonna stir it. We're so evil."
"71","cue","00:04:03,600","00:04:05,400","<i>What I love about these two</i>"
"72","cue","00:04:05,480","00:04:08,840","<i>is their mature approach
to resolving tensions within the group.</i>"
"73","cue","00:04:09,240","00:04:10,880","Okay. So, if..."
"74","cue","00:04:11,520","00:04:13,000","Lana tonight"
"75","cue","00:04:13,080","00:04:17,000","drops the news that 3K was lost,
are you gonna blame it on them?"
"76","cue","00:04:18,120","00:04:19,680","- Yeah.
- Okay."
"77","cue","00:04:19,760","00:04:20,760","There we go."
"78","cue","00:04:22,080","00:04:25,160","Me and Fran want to have
the best time we possibly can,"
"79","cue","00:04:25,240","00:04:26,960","and literally, this is our, like..."
"80","cue","00:04:27,520","00:04:28,880","What's the word when..."
"81","cue","00:04:29,640","00:04:32,840","What's the word when you, like,
get, like, a sign of, like, hope?"
"82","cue","00:04:33,240","00:04:35,160","<i>Optimism? Faith? Excitement?</i>"
"83","cue","00:04:35,280","00:04:36,880","Uh, the... A loophole?"
"84","cue","00:04:37,560","00:04:38,880","This is like our loophole."
"85","cue","00:04:38,960","00:04:41,320","<i>I'm pretty sure that's not the word
you're looking for.</i>"
"86","cue","00:04:51,320","00:04:52,600","[Chloe] Energies are good today."
"87","cue","00:04:52,640","00:04:55,480","- They are. The vibes are good.
- Everyone's, like, so horny."
"88","cue","00:04:55,560","00:04:57,920","I know, it's so funny.
I'm loving it, though."
"89","cue","00:04:58,280","00:05:00,560","[David] There's definitely a connection
and a vibe"
"90","cue","00:05:00,640","00:05:02,320","and a chemistry going on with Chloe."
"91","cue","00:05:02,400","00:05:05,800","I mean, she's sexy as fuck.
You can't deny that."
"92","cue","00:05:05,880","00:05:07,240","What are you thinking?"
"93","cue","00:05:07,320","00:05:11,200","I think that we took Lana's word
really seriously and straightforward."
"94","cue","00:05:11,280","00:05:14,600","Yeah, I'm here for self-development,
but sometimes you've gotta..."
"95","cue","00:05:14,680","00:05:16,240","- Let loose.
- Balance it out."
"96","cue","00:05:16,320","00:05:18,440","- Let loose a little bit, you know?
- Yeah."
"97","cue","00:05:18,520","00:05:21,520","- I'm feeling like a rebel.
- I could feel you were horny last night."
"98","cue","00:05:21,600","00:05:22,880","[Chloe squeals]"
"99","cue","00:05:23,480","00:05:26,240","[Chloe] Last night,
me and Dave went on a date."
"100","cue","00:05:26,720","00:05:29,560","There is definitely
sexual chemistry there."
"101","cue","00:05:30,000","00:05:32,680","But whether it's anything more,
I'm not too sure."
"102","cue","00:05:37,280","00:05:39,560","<i>With sexual tension rising in the retreat,</i>"
"103","cue","00:05:40,640","00:05:44,320","<i>Lana has picked the perfect time
for her first workshop.</i>"
"104","cue","00:05:45,280","00:05:47,320","[melodic chime]
<i>Workshops will provide my guests</i>"
"105","cue","00:05:47,400","00:05:50,560","<i>with the essential tools
to become authentically connected</i>"
