index,type,start,end,text
0,cue,"00:00:06,000","00:00:07,120",[melodic chime]
1,cue,"00:00:11,840","00:00:13,720",<i>♪ All I want is sunshine ♪</i>
2,cue,"00:00:16,520","00:00:17,800",<i>♪ Sunshine ♪</i>
3,cue,"00:00:19,200","00:00:20,720","Any money lost last night, anyone?"
4,cue,"00:00:20,840","00:00:23,560","No, but we got really fucking close,
though, I'll be honest."
5,cue,"00:00:23,640","00:00:25,440","- [Harry laughs]
- Shut up. Seriously?"
6,cue,"00:00:25,520","00:00:27,680","[David] Really close.
Didn't actually spend any money."
7,cue,"00:00:28,160","00:00:29,520",[Lydia] David is sexy as fuck.
8,cue,"00:00:29,600","00:00:33,880","It is so bloody hard
trying to resist the urge to just..."
9,cue,"00:00:35,680","00:00:38,160",<i>♪ That I'm needing right now ♪</i>
10,cue,"00:00:39,240","00:00:41,280","<i>With less than a week to go
at the retreat,</i>"
11,cue,"00:00:41,360","00:00:44,640","<i>and only $55,000 in the no-sex pot,</i>"
12,cue,"00:00:44,880","00:00:48,960","<i>it's time for our raunchy residents
to start being a little less frisky</i>"
13,cue,"00:00:49,040","00:00:50,680",<i>and a touch more thrifty.</i>
14,cue,"00:00:55,960","00:00:57,480","Do you actually say ""Ore-<i>gan</i>-o""?"
15,cue,"00:00:57,560","00:00:59,320","- What is it? ""O-<i>reg</i>-ano""?
- ""O-<i>reg</i>-ano."""
16,cue,"00:00:59,800","00:01:01,720","- It's ""ore-<i>gan</i>-o.""
- No, ""o-<i>reg</i>-ano."""
17,cue,"00:01:01,800","00:01:02,800",[laughing] No!
18,cue,"00:01:03,120","00:01:05,480",Me and Francesca are always having fun
19,cue,"00:01:05,640","00:01:06,480",and laughing.
20,cue,"00:01:06,560","00:01:08,160","- It's ""ore-<i>gan</i>-o.""
- No!"
21,cue,"00:01:08,680","00:01:10,600",There's just been little things
22,cue,"00:01:10,680","00:01:14,000","in a relationship that I've never had
before, and it's been magic."
23,cue,"00:01:14,240","00:01:15,920","- It's ""ore-<i>gan</i>-o.""
- No, it's ""o-<i>reg</i>-ano."""
24,cue,"00:01:16,360","00:01:17,520","And it's ""A-<i>did</i>-as."""
25,cue,"00:01:21,760","00:01:25,360","<i>Having cost the group three grand
for her sofa snog last night,</i>"
26,cue,"00:01:25,440","00:01:28,440","<i>let's hope Chloe
isn't getting ""Kori-ed"" away.</i>"
27,cue,"00:01:28,800","00:01:31,960","How was it?
You had a night to sleep with your geezer."
28,cue,"00:01:32,280","00:01:34,080",Lemon-squeezer.
29,cue,"00:01:34,160","00:01:35,480",Fridge-freezer.
30,cue,"00:01:36,920","00:01:38,800","- [Chloe] We kissed.
- [Nicole] Yeah."
31,cue,"00:01:38,880","00:01:40,480","- Ah, really?
- So, that was really cute."
32,cue,"00:01:40,520","00:01:41,440",[Nicole] Right.
33,cue,"00:01:41,520","00:01:42,720",<i>Is no one bothered?</i>
34,cue,"00:01:43,080","00:01:45,080","<i>She just cost you
the price of a Chanel handbag.</i>"
35,cue,"00:01:45,160","00:01:47,840",He's ticking so many boxes. It's unreal.
36,cue,"00:01:47,920","00:01:50,280","Like, he's fit. He's got tattoos.
He's taller than me."
37,cue,"00:01:51,680","00:01:53,920","[Nicole] I'm giving her
a little bit of leeway"
38,cue,"00:01:54,000","00:01:57,680","in relation to spending three grand,
but I just really hope"
39,cue,"00:01:57,760","00:02:01,280","he genuinely finds a connection with Chloe
and likes her."
40,cue,"00:02:01,360","00:02:03,560","I feel like
I need to go on a date with him"
41,cue,"00:02:03,640","00:02:06,560",to see where it would go.
42,cue,"00:02:07,000","00:02:09,520","He hasn't seen all of the Chloe yet.
I mean..."
43,cue,"00:02:10,520","00:02:12,600",there's so many different sides to me.
44,cue,"00:02:13,000","00:02:16,200","I'm gonna tick his boxes,
as well as him ticking mine."
45,cue,"00:02:16,640","00:02:18,400","- Tick, tick, boom, bitch!
- There you go."
46,cue,"00:02:18,480","00:02:19,720","- Boom!
- There you go."
47,cue,"00:02:20,360","00:02:22,920","<i>Aw, the sound of young love blossoming.</i>"
48,cue,"00:02:23,160","00:02:25,080",<i>Kori's bagged himself a stunner.</i>
49,cue,"00:02:25,400","00:02:28,480","<i>In fact, I bet he's boasting to Harry
about it right now.</i>"
